RGN342,32,Male,Bachelor's,Software Engineer,5,90000
RGN343,28,Female,Master's,Data Analyst,3,65000
RGN344,45,Male,PhD,Senior Manager,15,150000
RGN345,36,Female,Bachelor's,Sales Associate,7,60000
RGN346,52,Male,Master's,Director,20,200000
RGN347,29,Male,Bachelor's,Marketing Analyst,2,55000
RGN348,42,Female,Master's,Product Manager,12,120000
RGN349,31,Male,Bachelor's,Sales Manager,4,80000
RGN350,26,Female,Bachelor's,Marketing Coordinator,1,45000
RGN351,38,Male,PhD,Senior Scientist,10,110000
RGN352,29,Male,Master's,Software Developer,3,75000
RGN353,48,Female,Bachelor's,HR Manager,18,140000
RGN354,35,Male,Bachelor's,Financial Analyst,6,65000
RGN355,40,Female,Master's,Project Manager,14,130000
RGN356,27,Male,Bachelor's,Customer Service Rep,2,40000
RGN357,44,Male,Bachelor's,Operations Manager,16,125000
RGN358,33,Female,Master's,Marketing Manager,7,90000
RGN359,39,Male,PhD,Senior Engineer,12,115000
RGN360,25,Female,Bachelor's,Data Entry Clerk,0,35000
RGN361,51,Male,Bachelor's,Sales Director,22,180000
RGN362,34,Female,Master's,Business Analyst,5,80000
RGN363,47,Male,Master's,VP of Operations,19,190000
RGN364,30,Male,Bachelor's,IT Support,2,50000
RGN365,36,Female,Bachelor's,Recruiter,9,60000
RGN366,41,Male,Master's,Financial Manager,13,140000
RGN367,28,Female,Bachelor's,Social Media Specialist,3,45000
RGN368,37,Female,Master's,Software Manager,11,110000
RGN369,24,Male,Bachelor's,Junior Developer,1,40000
RGN370,43,Female,PhD,Senior Consultant,15,140000
RGN371,33,Male,Master's,Product Designer,6,90000
RGN372,50,Male,Bachelor's,CEO,25,250000
RGN373,31,Female,Bachelor's,Accountant,4,55000
RGN374,29,Male,Master's,Data Scientist,3,75000
RGN375,39,Female,Bachelor's,Marketing Specialist,10,65000
RGN376,46,Male,PhD,Senior Manager,20,170000
RGN377,27,Male,Bachelor's,Technical Writer,2,45000
RGN378,35,Female,Bachelor's,HR Generalist,7,60000
RGN379,42,Male,Master's,Project Engineer,14,115000
RGN380,26,Female,Bachelor's,Customer Success Rep,1,40000
RGN381,49,Male,Bachelor's,Sales Executive,21,160000
RGN382,34,Female,Master's,UX Designer,5,80000
RGN383,48,Male,Master's,Operations Director,18,190000
RGN384,30,Male,Bachelor's,Network Engineer,3,60000
RGN385,36,Female,Bachelor's,Administrative Assistant,8,45000
RGN386,41,Male,Master's,Strategy Consultant,13,130000
